folder,samples,train,test,task
original_oPE,76,0.7631578947368421,0.6858836206896551,w_cs
original_oPE,76,0.7894736842105263,0.6530172413793104,w_cs
original_oPE,76,0.631578947368421,0.525323275862069,w_cs
original_oPE,76,0.5789473684210527,0.5317887931034483,w_cs
original_oPE,76,0.5263157894736842,0.5479525862068966,w_cs
original_oPE,76,0.6052631578947368,0.5560344827586207,w_cs
original_oPE,76,0.618421052631579,0.5533405172413793,w_cs
original_oPE,76,0.5526315789473685,0.48060344827586204,w_cs
original_oPE,76,0.6710526315789473,0.572198275862069,w_cs
original_oPE,76,0.5657894736842105,0.5560344827586207,w_cs
original_oPE,76,0.7894736842105263,0.6616379310344828,w_cs
original_oPE,76,0.8289473684210527,0.7101293103448276,w_cs
original_oPE,76,0.75,0.6896551724137931,w_cs
original_oPE,76,0.7105263157894737,0.646551724137931,w_cs
original_oPE,76,0.8157894736842105,0.7182112068965517,w_cs
original_oPE,76,0.6973684210526315,0.7300646551724138,w_cs
original_oPE,76,0.9210526315789473,0.7386853448275862,w_cs
original_oPE,76,0.8289473684210527,0.7494612068965517,w_cs
original_oPE,76,0.8947368421052632,0.7446120689655172,w_cs
original_oPE,76,0.8289473684210527,0.7774784482758621,w_cs
original_oPE,76,0.9078947368421053,0.7898706896551724,w_cs
original_oPE,76,0.8289473684210527,0.7192887931034483,w_cs
original_oPE,76,0.868421052631579,0.8022629310344828,w_cs
original_oPE,76,0.9473684210526315,0.8227370689655172,w_cs
original_oPE,76,0.9210526315789473,0.8168103448275862,w_cs
original_oPE,76,0.9210526315789473,0.712823275862069,w_cs
original_oPE,76,0.8421052631578947,0.8254310344827587,w_cs
original_oPE,76,0.9078947368421053,0.853448275862069,w_cs
original_oPE,76,0.9605263157894737,0.8771551724137931,w_cs
original_oPE,76,0.9473684210526315,0.8200431034482759,w_cs
original_oPE,76,0.9342105263157895,0.8685344827586207,w_cs
original_oPE,76,1.0,0.8927801724137931,w_cs
original_oPE,76,0.9473684210526315,0.8863146551724138,w_cs
original_oPE,76,0.9736842105263158,0.8873922413793104,w_cs
original_oPE,76,0.9605263157894737,0.8582974137931034,w_cs
original_oPE,76,0.9868421052631579,0.8658405172413793,w_cs
original_oPE,76,0.9605263157894737,0.8868534482758621,w_cs
original_oPE,76,0.9473684210526315,0.915948275862069,w_cs
original_oPE,76,0.9605263157894737,0.8820043103448276,w_cs
original_oPE,76,0.9342105263157895,0.9234913793103449,w_cs
original_oPE,76,0.9868421052631579,0.9353448275862069,w_cs
original_oPE,76,0.9342105263157895,0.9294181034482759,w_cs
original_oPE,76,0.9605263157894737,0.8852370689655172,w_cs
original_oPE,76,0.9605263157894737,0.9294181034482759,w_cs
original_oPE,76,0.9473684210526315,0.9164870689655172,w_cs
original_oPE,76,0.9868421052631579,0.9423491379310345,w_cs
original_oPE,76,0.9473684210526315,0.9396551724137931,w_cs
original_oPE,76,0.9736842105263158,0.9423491379310345,w_cs
original_oPE,76,0.9868421052631579,0.9488146551724138,w_cs
original_oPE,76,0.9473684210526315,0.931573275862069,w_cs
original_oPE,153,0.9869281045751634,0.9585129310344828,w_cs
original_oPE,153,1.0,0.9450431034482759,w_cs
original_oPE,153,0.9803921568627451,0.9595905172413793,w_cs
original_oPE,153,0.9869281045751634,0.9547413793103449,w_cs
original_oPE,153,0.9934640522875817,0.9655172413793104,w_cs
original_oPE,153,0.9673202614379085,0.9709051724137931,w_cs
original_oPE,153,0.9934640522875817,0.9709051724137931,w_cs
original_oPE,153,0.9869281045751634,0.9881465517241379,w_cs
original_oPE,153,0.9803921568627451,0.96875,w_cs
original_oPE,153,0.9934640522875817,0.9692887931034483,w_cs
original_oPE,153,1.0,0.984375,w_cs
original_oPE,153,1.0,0.9892241379310345,w_cs
original_oPE,153,1.0,0.9919181034482759,w_cs
original_oPE,153,1.0,0.96875,w_cs
original_oPE,153,1.0,0.9870689655172413,w_cs
original_oPE,153,0.9934640522875817,0.9849137931034483,w_cs
original_oPE,153,1.0,0.9951508620689655,w_cs
original_oPE,153,0.9934640522875817,0.9725215517241379,w_cs
original_oPE,153,1.0,0.9779094827586207,w_cs
original_oPE,153,1.0,0.9929956896551724,w_cs
original_oPE,153,1.0,0.990301724137931,w_cs
original_oPE,153,1.0,0.9946120689655172,w_cs
original_oPE,153,1.0,0.9908405172413793,w_cs
original_oPE,153,1.0,0.9908405172413793,w_cs
original_oPE,153,1.0,0.9946120689655172,w_cs
original_oPE,153,1.0,0.9929956896551724,w_cs
original_oPE,153,1.0,0.9956896551724138,w_cs
original_oPE,153,1.0,0.9946120689655172,w_cs
original_oPE,153,1.0,0.9919181034482759,w_cs
original_oPE,153,1.0,0.9822198275862069,w_cs
original_oPE,153,1.0,0.9924568965517241,w_cs
original_oPE,153,1.0,0.994073275862069,w_cs
original_oPE,153,1.0,0.9946120689655172,w_cs
original_oPE,153,1.0,0.9946120689655172,w_cs
original_oPE,153,1.0,0.9956896551724138,w_cs
original_oPE,153,1.0,0.990301724137931,w_cs
original_oPE,153,1.0,0.9967672413793104,w_cs
original_oPE,153,1.0,0.9956896551724138,w_cs
original_oPE,153,1.0,0.9956896551724138,w_cs
original_oPE,153,1.0,0.9983836206896551,w_cs
original_oPE,153,0.9934640522875817,0.9897629310344828,w_cs
original_oPE,153,1.0,0.9973060344827587,w_cs
original_oPE,153,1.0,0.9962284482758621,w_cs
original_oPE,153,1.0,0.9973060344827587,w_cs
original_oPE,153,1.0,0.9962284482758621,w_cs
original_oPE,153,1.0,0.9956896551724138,w_cs
original_oPE,153,1.0,0.9897629310344828,w_cs
original_oPE,153,1.0,0.9946120689655172,w_cs
original_oPE,153,1.0,0.9973060344827587,w_cs
original_oPE,153,1.0,0.9956896551724138,w_cs
original_oPE,230,1.0,0.9962284482758621,w_cs
original_oPE,230,1.0,0.9913793103448276,w_cs
original_oPE,230,1.0,0.9983836206896551,w_cs
original_oPE,230,1.0,0.9956896551724138,w_cs
original_oPE,230,1.0,0.9962284482758621,w_cs
original_oPE,230,1.0,0.9978448275862069,w_cs
original_oPE,230,1.0,0.9962284482758621,w_cs
original_oPE,230,1.0,0.9956896551724138,w_cs
original_oPE,230,1.0,0.9983836206896551,w_cs
original_oPE,230,1.0,0.9983836206896551,w_cs
original_oPE,230,1.0,0.9978448275862069,w_cs
original_oPE,230,1.0,0.9989224137931034,w_cs
original_oPE,230,1.0,0.9989224137931034,w_cs
original_oPE,230,1.0,0.9978448275862069,w_cs
