folder,samples,train,test,task
300,100,1.0,1.0,w_nw
300,100,0.9292929292929293,0.9292929292929293,w_nw
300,100,0.5050505050505051,0.5050505050505051,w_nw
300,100,0.6464646464646465,0.6464646464646465,w_nw
300,100,0.9292929292929293,0.9292929292929293,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,0.5050505050505051,0.5050505050505051,w_nw
300,100,0.494949494949495,0.494949494949495,w_nw
300,100,0.5050505050505051,0.5050505050505051,w_nw
400,100,0.494949494949495,0.494949494949495,w_nw
400,100,0.9696969696969697,0.9696969696969697,w_nw
400,100,0.5050505050505051,0.5050505050505051,w_nw
400,100,0.5050505050505051,0.5050505050505051,w_nw
400,100,1.0,1.0,w_nw
400,100,0.5050505050505051,0.5050505050505051,w_nw
400,100,0.797979797979798,0.797979797979798,w_nw
400,100,0.5050505050505051,0.5050505050505051,w_nw
400,100,0.5050505050505051,0.5050505050505051,w_nw
400,100,0.898989898989899,0.898989898989899,w_nw
500,100,0.5050505050505051,0.5050505050505051,w_nw
500,100,1.0,1.0,w_nw
500,100,0.494949494949495,0.494949494949495,w_nw
500,100,0.7474747474747475,0.7474747474747475,w_nw
500,100,0.494949494949495,0.494949494949495,w_nw
500,100,0.5050505050505051,0.5050505050505051,w_nw
500,100,0.494949494949495,0.494949494949495,w_nw
500,100,1.0,1.0,w_nw
500,100,0.5050505050505051,0.5050505050505051,w_nw
500,100,0.696969696969697,0.696969696969697,w_nw
600,100,0.9191919191919192,0.9191919191919192,w_nw
600,100,0.6161616161616161,0.6161616161616161,w_nw
600,100,0.494949494949495,0.494949494949495,w_nw
600,100,0.5050505050505051,0.5050505050505051,w_nw
600,100,0.898989898989899,0.898989898989899,w_nw
600,100,0.5050505050505051,0.5050505050505051,w_nw
600,100,0.5050505050505051,0.5050505050505051,w_nw
600,100,1.0,1.0,w_nw
600,100,0.494949494949495,0.494949494949495,w_nw
600,100,0.7272727272727273,0.7272727272727273,w_nw
700,100,0.5050505050505051,0.5050505050505051,w_nw
700,100,0.494949494949495,0.494949494949495,w_nw
700,100,0.494949494949495,0.494949494949495,w_nw
700,100,0.8888888888888888,0.8888888888888888,w_nw
700,100,1.0,1.0,w_nw
700,100,0.494949494949495,0.494949494949495,w_nw
700,100,0.494949494949495,0.494949494949495,w_nw
700,100,1.0,1.0,w_nw
700,100,0.494949494949495,0.494949494949495,w_nw
700,100,0.9797979797979798,0.9797979797979798,w_nw
800,100,1.0,1.0,w_nw
800,100,0.6868686868686869,0.6868686868686869,w_nw
800,100,1.0,1.0,w_nw
800,100,1.0,1.0,w_nw
800,100,0.5050505050505051,0.5050505050505051,w_nw
800,100,1.0,1.0,w_nw
800,100,0.5050505050505051,0.5050505050505051,w_nw
800,100,1.0,1.0,w_nw
800,100,1.0,1.0,w_nw
800,100,0.5050505050505051,0.5050505050505051,w_nw
900,100,0.696969696969697,0.696969696969697,w_nw
900,100,0.494949494949495,0.494949494949495,w_nw
900,100,0.5050505050505051,0.5050505050505051,w_nw
900,100,0.9191919191919192,0.9191919191919192,w_nw
900,100,0.5757575757575758,0.5757575757575758,w_nw
900,100,1.0,1.0,w_nw
900,100,1.0,1.0,w_nw
900,100,0.8686868686868687,0.8686868686868687,w_nw
900,100,0.5050505050505051,0.5050505050505051,w_nw
900,100,0.494949494949495,0.494949494949495,w_nw
1000,100,0.5050505050505051,0.5050505050505051,w_nw
1000,100,0.5353535353535354,0.5353535353535354,w_nw
1000,100,1.0,1.0,w_nw
1000,100,0.494949494949495,0.494949494949495,w_nw
1000,100,0.98989898989899,0.98989898989899,w_nw
1000,100,0.5959595959595959,0.5959595959595959,w_nw
1000,100,0.494949494949495,0.494949494949495,w_nw
1000,100,0.8787878787878788,0.8787878787878788,w_nw
1000,100,0.4444444444444444,0.4444444444444444,w_nw
1000,100,0.494949494949495,0.494949494949495,w_nw
1100,100,0.7575757575757576,0.7575757575757576,w_nw
1100,100,0.7171717171717171,0.7171717171717171,w_nw
1100,100,1.0,1.0,w_nw
1100,100,1.0,1.0,w_nw
1100,100,1.0,1.0,w_nw
1100,100,0.5050505050505051,0.5050505050505051,w_nw
1100,100,0.494949494949495,0.494949494949495,w_nw
1100,100,0.494949494949495,0.494949494949495,w_nw
1100,100,1.0,1.0,w_nw
1100,100,0.5050505050505051,0.5050505050505051,w_nw
1200,100,0.5050505050505051,0.5050505050505051,w_nw
1200,100,0.494949494949495,0.494949494949495,w_nw
1200,100,0.9494949494949495,0.9494949494949495,w_nw
1200,100,0.8585858585858586,0.8585858585858586,w_nw
1200,100,1.0,1.0,w_nw
1200,100,0.5050505050505051,0.5050505050505051,w_nw
1200,100,1.0,1.0,w_nw
1200,100,0.7474747474747475,0.7474747474747475,w_nw
1200,100,1.0,1.0,w_nw
1200,100,0.9292929292929293,0.9292929292929293,w_nw
1300,100,0.98989898989899,0.98989898989899,w_nw
1300,100,0.7575757575757576,0.7575757575757576,w_nw
1300,100,0.494949494949495,0.494949494949495,w_nw
1300,100,0.8383838383838383,0.8383838383838383,w_nw
1300,100,0.5050505050505051,0.5050505050505051,w_nw
1300,100,0.5151515151515151,0.5151515151515151,w_nw
1300,100,0.9696969696969697,0.9696969696969697,w_nw
1300,100,0.5050505050505051,0.5050505050505051,w_nw
1300,100,0.898989898989899,0.898989898989899,w_nw
1300,100,0.494949494949495,0.494949494949495,w_nw
1400,100,0.5050505050505051,0.5050505050505051,w_nw
1400,100,1.0,1.0,w_nw
1400,100,0.5050505050505051,0.5050505050505051,w_nw
1400,100,0.5050505050505051,0.5050505050505051,w_nw
1400,100,0.7777777777777778,0.7777777777777778,w_nw
1400,100,0.5050505050505051,0.5050505050505051,w_nw
1400,100,0.494949494949495,0.494949494949495,w_nw
1400,100,0.5151515151515151,0.5151515151515151,w_nw
1400,100,0.9090909090909091,0.9090909090909091,w_nw
1400,100,0.9797979797979798,0.9797979797979798,w_nw
1500,100,0.7373737373737373,0.7373737373737373,w_nw
1500,100,0.9797979797979798,0.9797979797979798,w_nw
1500,100,0.494949494949495,0.494949494949495,w_nw
1500,100,1.0,1.0,w_nw
1500,100,0.9696969696969697,0.9696969696969697,w_nw
1500,100,0.5050505050505051,0.5050505050505051,w_nw
1500,100,0.5050505050505051,0.5050505050505051,w_nw
1500,100,0.6060606060606061,0.6060606060606061,w_nw
1500,100,1.0,1.0,w_nw
1500,100,0.6666666666666666,0.6666666666666666,w_nw
1600,100,0.898989898989899,0.898989898989899,w_nw
1600,100,1.0,1.0,w_nw
1600,100,0.494949494949495,0.494949494949495,w_nw
1600,100,0.6464646464646465,0.6464646464646465,w_nw
1600,100,0.98989898989899,0.98989898989899,w_nw
1600,100,0.7474747474747475,0.7474747474747475,w_nw
1600,100,0.494949494949495,0.494949494949495,w_nw
1600,100,0.5050505050505051,0.5050505050505051,w_nw
1600,100,0.5050505050505051,0.5050505050505051,w_nw
1600,100,0.7272727272727273,0.7272727272727273,w_nw
1700,100,1.0,1.0,w_nw
1700,100,0.5050505050505051,0.5050505050505051,w_nw
1700,100,0.797979797979798,0.797979797979798,w_nw
1700,100,1.0,1.0,w_nw
1700,100,0.494949494949495,0.494949494949495,w_nw
1700,100,0.5050505050505051,0.5050505050505051,w_nw
1700,100,0.5050505050505051,0.5050505050505051,w_nw
1700,100,0.98989898989899,0.98989898989899,w_nw
1700,100,1.0,1.0,w_nw
1700,100,0.6363636363636364,0.6363636363636364,w_nw
1800,100,0.5050505050505051,0.5050505050505051,w_nw
1800,100,0.8888888888888888,0.8888888888888888,w_nw
1800,100,0.8888888888888888,0.8888888888888888,w_nw
1800,100,0.5050505050505051,0.5050505050505051,w_nw
1800,100,1.0,1.0,w_nw
1800,100,0.494949494949495,0.494949494949495,w_nw
1800,100,0.494949494949495,0.494949494949495,w_nw
1800,100,1.0,1.0,w_nw
1800,100,0.5050505050505051,0.5050505050505051,w_nw
1800,100,0.6565656565656566,0.6565656565656566,w_nw
1900,100,0.9595959595959596,0.9595959595959596,w_nw
1900,100,0.9595959595959596,0.9595959595959596,w_nw
1900,100,0.5050505050505051,0.5050505050505051,w_nw
1900,100,0.494949494949495,0.494949494949495,w_nw
1900,100,0.5050505050505051,0.5050505050505051,w_nw
1900,100,0.5050505050505051,0.5050505050505051,w_nw
1900,100,0.494949494949495,0.494949494949495,w_nw
1900,100,0.9090909090909091,0.9090909090909091,w_nw
1900,100,0.9797979797979798,0.9797979797979798,w_nw
1900,100,0.494949494949495,0.494949494949495,w_nw
2000,100,0.48484848484848486,0.48484848484848486,w_nw
2000,100,1.0,1.0,w_nw
2000,100,0.48484848484848486,0.48484848484848486,w_nw
2000,100,0.98989898989899,0.98989898989899,w_nw
2000,100,1.0,1.0,w_nw
2000,100,0.494949494949495,0.494949494949495,w_nw
2000,100,0.7676767676767676,0.7676767676767676,w_nw
2000,100,1.0,1.0,w_nw
2000,100,0.48484848484848486,0.48484848484848486,w_nw
2000,100,0.5151515151515151,0.5151515151515151,w_nw
2100,100,1.0,1.0,w_nw
2100,100,0.7575757575757576,0.7575757575757576,w_nw
2100,100,0.494949494949495,0.494949494949495,w_nw
2100,100,0.5050505050505051,0.5050505050505051,w_nw
2100,100,0.9797979797979798,0.9797979797979798,w_nw
2100,100,0.494949494949495,0.494949494949495,w_nw
2100,100,0.5050505050505051,0.5050505050505051,w_nw
2100,100,0.8888888888888888,0.8888888888888888,w_nw
2100,100,0.8686868686868687,0.8686868686868687,w_nw
2100,100,0.5050505050505051,0.5050505050505051,w_nw
2200,100,0.48484848484848486,0.48484848484848486,w_nw
2200,100,0.7676767676767676,0.7676767676767676,w_nw
2200,100,0.7373737373737373,0.7373737373737373,w_nw
2200,100,0.48484848484848486,0.48484848484848486,w_nw
2200,100,0.48484848484848486,0.48484848484848486,w_nw
2200,100,0.5151515151515151,0.5151515151515151,w_nw
2200,100,0.5151515151515151,0.5151515151515151,w_nw
2200,100,0.5151515151515151,0.5151515151515151,w_nw
2200,100,1.0,1.0,w_nw
2200,100,1.0,1.0,w_nw
2300,100,0.9797979797979798,0.9797979797979798,w_nw
2300,100,1.0,1.0,w_nw
2300,100,0.48484848484848486,0.48484848484848486,w_nw
2300,100,1.0,1.0,w_nw
2300,100,0.5151515151515151,0.5151515151515151,w_nw
2300,100,0.6868686868686869,0.6868686868686869,w_nw
2300,100,0.9696969696969697,0.9696969696969697,w_nw
2300,100,0.7171717171717171,0.7171717171717171,w_nw
2300,100,1.0,1.0,w_nw
2300,100,0.48484848484848486,0.48484848484848486,w_nw
2400,100,1.0,1.0,w_nw
2400,100,0.5050505050505051,0.5050505050505051,w_nw
2400,100,1.0,1.0,w_nw
2400,100,0.9090909090909091,0.9090909090909091,w_nw
2400,100,1.0,1.0,w_nw
2400,100,1.0,1.0,w_nw
2400,100,0.9292929292929293,0.9292929292929293,w_nw
2400,100,1.0,1.0,w_nw
2400,100,0.5050505050505051,0.5050505050505051,w_nw
2400,100,0.9494949494949495,0.9494949494949495,w_nw
2500,100,0.494949494949495,0.494949494949495,w_nw
2500,100,0.98989898989899,0.98989898989899,w_nw
2500,100,0.494949494949495,0.494949494949495,w_nw
2500,100,1.0,1.0,w_nw
2500,100,1.0,1.0,w_nw
2500,100,1.0,1.0,w_nw
2500,100,0.494949494949495,0.494949494949495,w_nw
2500,100,1.0,1.0,w_nw
2500,100,1.0,1.0,w_nw
2500,100,1.0,1.0,w_nw
2600,100,1.0,1.0,w_nw
2600,100,0.5050505050505051,0.5050505050505051,w_nw
2600,100,0.494949494949495,0.494949494949495,w_nw
2600,100,1.0,1.0,w_nw
2600,100,1.0,1.0,w_nw
