folder,samples,train,test,task
100,100,0.5050505050505051,0.5050505050505051,w_nw
100,100,0.5050505050505051,0.5050505050505051,w_nw
100,100,1.0,1.0,w_nw
100,100,0.98989898989899,0.98989898989899,w_nw
100,100,0.5050505050505051,0.5050505050505051,w_nw
100,100,0.6464646464646465,0.6464646464646465,w_nw
100,100,0.6565656565656566,0.6565656565656566,w_nw
100,100,0.5050505050505051,0.5050505050505051,w_nw
100,100,0.494949494949495,0.494949494949495,w_nw
100,100,0.9191919191919192,0.9191919191919192,w_nw
