folder,samples,train,test,task
100,100,0.98989898989899,0.98989898989899,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
100,100,1.0,1.0,w_nw
200,100,1.0,1.0,w_nw
200,100,0.494949494949495,0.494949494949495,w_nw
200,100,0.6868686868686869,0.6868686868686869,w_nw
200,100,0.494949494949495,0.494949494949495,w_nw
200,100,1.0,1.0,w_nw
200,100,0.5050505050505051,0.5050505050505051,w_nw
200,100,0.5050505050505051,0.5050505050505051,w_nw
200,100,1.0,1.0,w_nw
200,100,1.0,1.0,w_nw
200,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
300,100,1.0,1.0,w_nw
